date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2019-03-01,sh.601975,2.3900,2.41,2.36,2.39,62358492,148346688.0000,3,3.284529,1,0.420168,36.590125,3.314442,3.452951,85.513622,1,2.3479999999999994,2.312,2.2339999999999995,1,1,1,1,1,76.56862745098037,73.58714596949885,82.5315904139434,1,-0.09210537190777535,-0.1699242667879822,0.07781889488020685
2019-03-04,sh.601975,2.3900,2.42,2.38,2.39,98159257,235437995.0000,3,5.170217,1,0.000000,36.590125,3.314442,3.452951,85.513622,1,2.361999999999999,2.3209999999999997,2.2424999999999997,1,1,1,1,1,83.33333333333336,77.37908496732024,95.24183006535958,1,-0.07750868895759844,-0.15144115122190543,0.073932462264307
2019-03-05,sh.601975,2.3700,2.39,2.36,2.39,70380330,167316751.0000,3,3.707053,1,0.000000,36.590125,3.314442,3.452951,85.513622,1,2.3759999999999994,2.3299999999999996,2.2565,1,1,1,1,1,85.00000000000006,81.6339869281046,91.73202614379096,1,-0.0651892514444099,-0.13419077126640633,0.06900151982199643
2019-03-06,sh.601975,2.3900,2.51,2.38,2.51,109386522,271024458.0000,3,5.761576,1,5.020916,38.427286,3.480857,3.626321,89.807193,1,2.4119999999999995,2.354,2.2774999999999994,1,1,1,1,1,90.00000000000004,86.11111111111116,97.7777777777778,1,-0.04522172346177644,-0.11639696170548035,0.0711752382437039
2019-03-07,sh.601975,2.6000,2.64,2.57,2.64,37839867,98911289.0000,3,1.993091,1,5.179287,40.417544,3.661141,3.814138,94.458561,1,2.4639999999999995,2.393,2.3069999999999995,1,1,1,1,1,95.00000000000001,90.00000000000004,104.99999999999997,1,-0.018691931185220056,-0.09685595560142829,0.07816402441620823
2019-03-08,sh.601975,2.7700,2.77,2.77,2.77,14504067,40176266.0000,3,0.763954,1,4.924237,42.407802,3.841424,4.001956,99.109930,1,2.539999999999999,2.444,2.341,1,1,1,1,1,100.0,95.00000000000001,109.99999999999997,1,0.012676902435275306,-0.07494938399408757,0.08762628642936288
2019-03-11,sh.601975,2.9100,2.91,2.64,2.73,192327916,532575681.0000,3,10.130242,1,-1.444042,41.795414,3.785952,3.944166,97.678739,1,2.607999999999999,2.4850000000000003,2.3705,1,1,1,1,1,90.1639344262295,95.05464480874316,80.38251366120218,-1,0.03391827461731323,-0.053175852271807406,0.08709412688912063
2019-03-12,sh.601975,2.7800,2.87,2.77,2.87,153763892,436182480.0000,3,8.099009,1,5.128201,43.938769,3.980103,4.146431,102.687905,1,2.7039999999999993,2.54,2.4065,1,1,1,1,1,87.86508385151687,92.67633942591546,78.24257270271968,-1,0.06134193345375483,-0.030272295126694958,0.09161422858044979
2019-03-13,sh.601975,2.9000,3.01,2.86,3.0,157156379,464803829.0000,3,8.277697,1,4.529621,45.929027,4.160387,4.334248,107.339274,1,2.801999999999999,2.607,2.4485,1,1,1,1,1,87.35226333869637,88.46042720548093,85.13593560512726,-1,0.09249902304408675,-0.0057180314925386125,0.09821705453662535
2019-03-14,sh.601975,2.9300,3.04,2.85,2.85,130406224,379085850.0000,3,6.868720,1,-5.000003,43.632576,3.952368,4.117536,101.972310,1,2.843999999999999,2.6540000000000004,2.4775,1,1,1,1,1,87.8746034222708,87.69731687082803,88.2291765251563,1,0.10388991633515454,0.01620355807300002,0.08768635826215453
2019-03-15,sh.601975,2.8500,2.88,2.76,2.88,87267353,246563338.0000,3,4.596522,1,1.052639,44.091866,3.993971,4.160878,103.045703,1,2.8659999999999988,2.7030000000000003,2.5075,1,1,1,1,1,82.33031674208148,85.85239450101624,75.28616122421195,-1,0.11402363710353924,0.03576757387910787,0.07825606322443138
