date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2015-07-28,sh.601985,9.7000,10.8,9.48,10.01,511096720,5095031296.0000,3,13.135356,1,-4.938300,63.036497,6.936484,7.498869,168.389000,0,11.265999999999996,11.261000000000001,10.8755,-1,-1,-1,1,1,39.337474120082824,59.906573000315184,-1.8007236403818894,-1,0.48795637433032724,0.676844547307212,-0.18888817297688476
2015-07-29,sh.601985,10.2300,10.8,9.86,10.72,407695664,4182651344.0000,3,10.477915,1,7.092900,67.507617,7.428482,8.030757,180.332675,0,11.027999999999997,11.296000000000001,10.745500000000002,-1,-1,-1,-1,1,29.19254658385095,43.443754313319566,0.6901311249137194,-1,0.4262639615949624,0.6267284301647621,-0.20046446856979971
2015-07-30,sh.601985,10.5000,11.66,10.39,10.85,625568992,6900798976.0000,3,16.077332,1,1.212700,68.326273,7.518567,8.128145,182.519545,0,10.761999999999997,11.295,10.688500000000001,1,-1,1,-1,1,32.50517598343688,33.67839889579023,30.158730158730165,-1,0.3834421115989368,0.5780711664515971,-0.19462905485266024
2015-07-31,sh.601985,10.5800,11.19,10.2,10.51,411278016,4358333184.0000,3,10.569982,1,-3.133600,66.185173,7.282962,7.873438,176.800039,0,10.523999999999997,11.195,10.6745,-1,-1,-1,-1,-1,37.68115942028988,33.12629399585925,46.79089026915115,1,0.3184000113274177,0.5261369354267612,-0.20773692409934352
2015-08-03,sh.601985,10.2800,10.79,10.0,10.31,330759936,3417090192.0000,3,8.500641,1,-1.902900,64.925702,7.144371,7.723610,173.435623,0,10.479999999999997,11.09,10.684000000000001,-1,-1,-1,-1,-1,33.436853002070414,34.541062801932405,31.228433402346425,-1,0.24785819474628568,0.4704811872906661,-0.22262299254438045
2015-08-04,sh.601985,10.5000,11.12,10.31,11.05,491393584,5286174976.0000,3,12.628979,1,7.177500,69.585743,7.657158,8.277972,185.883961,0,10.687999999999997,10.977,10.781,1,1,1,-1,-1,35.50724637681163,35.54175293305732,35.43823326432026,-1,0.2487971339519941,0.4261443766229317,-0.1773472426709376
2015-08-05,sh.601985,10.9000,11.07,10.5,10.66,478950384,5175477760.0000,3,12.309185,1,-3.529400,67.129776,7.386905,7.985809,179.323350,0,10.675999999999997,10.852,10.904,-1,-1,-1,-1,-1,38.8923395445135,35.94547964113186,44.78605935127676,1,0.21558636399689846,0.38403277409772507,-0.16844641010082662
2015-08-06,sh.601985,10.3800,11.08,10.28,10.77,384543120,4120615808.0000,3,9.882887,1,1.031900,67.822484,7.463130,8.068214,181.173779,0,10.659999999999997,10.711,10.9915,1,1,-1,-1,-1,50.02497768153933,41.47485453428816,67.12522397604168,1,0.1958846341004925,0.34640314609827855,-0.15051851199778604
2015-08-07,sh.601985,10.9000,11.38,10.78,11.12,544224880,6072840960.0000,3,13.986761,1,3.249800,70.026558,7.705665,8.330412,187.061506,0,10.781999999999996,10.653,11.0515,1,1,1,1,-1,58.848842289209266,49.25538650508738,78.03575385745303,1,0.20613673023179224,0.3183498629249813,-0.11221313269318905
2015-08-10,sh.601985,11.6500,12.23,11.4,12.23,856848608,10186801152.0000,3,22.021296,1,9.982000,77.016619,8.474845,9.161955,205.734012,0,11.165999999999997,10.823,11.117500000000001,1,1,1,1,1,78.13455657492355,62.33612551522406,109.73141869432253,1,0.30036687130068174,0.3147532646001214,-0.014386393299439637
2015-08-11,sh.601985,12.3000,12.72,12.01,12.19,999053808,12378486016.0000,3,25.676017,1,-0.327100,76.764725,8.447127,9.131989,205.061129,0,11.393999999999997,11.041,11.151,1,1,1,1,1,85.24802122683936,74.07714003032407,107.58978361986993,1,0.36758003742245293,0.3253186191645877,0.042261418257865224
2015-08-12,sh.601985,11.8400,12.33,11.72,11.83,473603216,5660044544.0000,3,12.171761,1,-2.953200,74.497678,8.197663,8.862300,199.005181,0,11.627999999999997,11.152,11.224,1,1,1,1,1,82.59803921568628,81.9935390058164,83.80703963542604,1,0.3873330303962348,0.3377215014109171,0.04961152898531768
2015-08-13,sh.601985,11.7100,12.36,11.68,12.24,551241952,6669168128.0000,3,14.167102,1,3.465800,77.079592,8.481775,9.169446,205.902233,0,11.921999999999999,11.291,11.293000000000001,1,1,1,1,1,76.7156862745098,81.52058223901183,67.10589434550576,-1,0.431101523120466,0.3563975057528269,0.0747040173676391
2015-08-14,sh.601985,12.3300,12.39,11.82,11.92,473290240,5719425792.0000,3,12.163717,1,-2.614400,75.064440,8.260029,8.929722,200.519168,0,12.081999999999999,11.431999999999999,11.313500000000001,-1,1,1,1,1,72.28182256509162,77.19851601842925,62.44843565841637,-1,0.43495317385175447,0.3721086393726124,0.06284453447914207
2015-08-17,sh.601985,11.7000,11.85,11.39,11.73,445086672,5178102016.0000,3,11.438876,1,-1.594000,73.867943,8.128367,8.787386,197.322974,0,11.982,11.574,11.332,-1,1,1,1,1,69.66409514625525,72.8872013286189,63.21788278152795,-1,0.41785742244348256,0.38125839598678646,0.036599026456696104
2015-08-18,sh.601985,11.6600,11.78,10.56,10.56,574343728,6348723968.0000,3,14.760826,1,-9.974400,66.500040,7.317609,7.910895,177.641142,0,11.656,11.525,11.251000000000001,-1,-1,-1,1,1,46.03825136612026,62.661389692489045,12.791974713382686,-1,0.3063680739333723,0.3662803315761036,-0.05991225764273134
