date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.601989,7.0400,7.29,7.0,7.19,66536188,476906915.0000,3,5.558579,1,2.421700,39.167663,8.811179,2.977833,37.100594,0,6.999999999999997,6.994000000000005,7.1970000000000045,1,1,-1,1,-1,51.07773605896256,35.411290862549315,82.41062645178904,1,-0.21949626312766934,-0.25438330624529293,0.034887043117623584
2010-02-26,sh.601989,7.1400,7.2,7.1,7.17,31995958,229103175.0000,3,2.673012,1,-0.278200,39.058713,8.786669,2.969549,36.997394,0,7.047999999999997,7.009000000000006,7.176000000000004,1,1,-1,1,-1,70.67167292448889,51.91211236267551,108.19079404811565,1,-0.1971406428574669,-0.24293477356772772,0.04579413071026081
2010-03-01,sh.601989,7.2000,7.22,7.14,7.17,24396645,175170601.0000,3,2.038149,1,0.000000,39.058713,8.786669,2.969549,36.997394,0,7.089999999999998,7.023000000000006,7.159000000000003,1,1,1,1,-1,75.88652482269502,65.87864460204882,95.90228526398741,1,-0.17737893873856247,-0.22982360660189466,0.052444667863332184
2010-03-02,sh.601989,7.2000,7.2,7.07,7.09,26449891,188355364.0000,3,2.209682,1,-1.115800,38.622911,8.688631,2.936416,36.584592,0,7.1279999999999974,7.036000000000006,7.138500000000003,-1,1,-1,1,-1,68.7943262411347,71.78417466277286,62.8146293978584,-1,-0.1662564760956764,-0.217110180500651,0.05085370440497461
2010-03-03,sh.601989,7.0800,7.41,7.06,7.33,69769284,508182068.0000,3,5.828679,1,3.385000,39.930316,8.982746,3.035815,37.822998,0,7.189999999999998,7.068000000000007,7.130000000000004,1,1,1,1,1,72.78519052770761,72.48868053051244,73.37821052209796,1,-0.13650233612081486,-0.2009886116246838,0.06448627550386893
2010-03-04,sh.601989,7.3100,7.41,7.06,7.1,51489450,372702542.0000,3,4.301541,1,-3.137800,38.677386,8.700886,2.940558,36.636192,0,7.171999999999997,7.086000000000006,7.102500000000004,-1,1,-1,1,1,63.78170453179462,68.45374043354563,54.437632728292584,-1,-0.12998268416192538,-0.18678742613213212,0.05680474197020674
2010-03-05,sh.601989,7.1400,7.34,7.1,7.33,38766673,280489039.0000,3,3.238653,1,3.239400,39.930316,8.982746,3.035815,37.822998,0,7.203999999999996,7.1260000000000066,7.0915000000000035,1,1,1,1,1,73.44632768361576,70.00440758103933,80.33016788876861,1,-0.10504583223787378,-0.17043910735328044,0.06539327511540666
2010-03-08,sh.601989,7.3300,7.43,7.31,7.34,42399244,312968130.0000,3,3.542126,1,0.136400,39.984791,8.995000,3.039957,37.874598,0,7.237999999999997,7.164000000000007,7.095000000000003,1,1,1,1,1,72.88135593220335,70.03646271587124,78.57114236486757,1,-0.08351358834025024,-0.1530540035506744,0.06954041521042414
2010-03-09,sh.601989,7.3600,7.42,7.25,7.39,31695401,233229994.0000,3,2.647903,1,0.681200,40.257167,9.056274,3.060665,38.132600,0,7.2979999999999965,7.213000000000006,7.109500000000002,1,1,1,1,1,87.29470503219022,77.87412954933644,106.13585599789778,1,-0.06170327088951666,-0.13478385701844284,0.07308058612892618
2010-03-10,sh.601989,7.4100,7.53,7.28,7.35,31712598,235203898.0000,3,2.649340,1,-0.541300,40.039266,9.007255,3.044099,37.926199,0,7.301999999999997,7.246000000000007,7.119500000000002,1,1,1,1,1,79.04852159668113,79.74152752035823,77.66250974932692,-1,-0.04710312734960276,-0.11724771108467483,0.07014458373507207
2010-03-11,sh.601989,7.3600,7.39,7.19,7.3,22516440,164011312.0000,3,1.881073,1,-0.680300,39.766890,8.945981,3.023391,37.668197,0,7.341999999999996,7.257000000000007,7.125500000000002,-1,1,1,1,1,67.82121062180433,78.05481241689189,47.35400703162921,-1,-0.03911608466335004,-0.10162138580040987,0.06250530113705983
2010-03-12,sh.601989,7.2700,7.31,7.11,7.14,23186043,166801682.0000,3,1.937013,1,-2.191800,38.895287,8.749905,2.957124,36.842593,0,7.303999999999997,7.254000000000007,7.131500000000001,-1,-1,1,1,1,43.26241134751768,63.37738118866772,3.032471665217585,-1,-0.045176195554025966,-0.0903323477511331,0.04515615219710713
2010-03-15,sh.601989,7.1100,7.16,6.98,7.01,26141005,184187320.0000,3,2.183877,1,-1.820700,38.187110,8.590593,2.903283,36.171790,0,7.237999999999997,7.238000000000007,7.1305000000000005,-1,-1,-1,-1,1,24.513217279174658,45.19894641616556,-16.858240994807147,-1,-0.059779687613056076,-0.0842218157235177,0.02444212811046162
2010-03-16,sh.601989,6.8500,6.88,6.49,6.76,193680253,1301972607.0000,3,9.708283,1,-3.566300,36.825230,8.284224,2.799742,34.881783,0,7.1119999999999965,7.205000000000007,7.1205,-1,-1,-1,-1,-1,16.145786837276123,27.97380515465616,-7.510249797483944,-1,-0.09048293993721934,-0.08547404056625803,-0.0050088993709613144
2010-03-17,sh.601989,6.6800,6.88,6.66,6.87,63845668,432576877.0000,3,3.200284,1,1.627200,37.424457,8.419026,2.845300,35.449386,0,7.015999999999996,7.159000000000008,7.1135,-1,-1,-1,-1,-1,22.65151515151508,21.10350642265529,25.74753260923466,1,-0.10473212121755004,-0.08932565669651643,-0.015406464521033614
2010-03-18,sh.601989,6.8700,6.88,6.8,6.82,46951971,320752224.0000,3,2.353482,1,-0.727800,37.152081,8.357752,2.824592,35.191384,0,6.919999999999996,7.131000000000009,7.108500000000001,-1,-1,-1,-1,-1,31.41025641025638,23.4025194663492,47.42573029807074,1,-0.11869108522672533,-0.09519874240255821,-0.023492342824167123
