date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.601999,14.1500,14.65,14.03,14.5,7068292,101784632.0000,3,4.775873,1,3.350000,64.519196,5.671855,6.105826,-1753.718802,0,14.108,13.782999999999998,13.357999999999993,1,1,1,1,1,83.35904628330991,83.24216923796162,83.59280037400649,1,0.25882578971874004,0.08499490896732947,0.17383088075141057
2010-02-26,sh.601999,14.4200,14.69,14.28,14.35,6688660,96305916.0000,3,4.519365,1,-1.034500,63.851756,5.613180,6.042662,-1735.576883,0,14.132,13.879,13.382999999999992,1,1,1,1,1,83.83985933590311,82.66221896828682,86.19514007113571,1,0.2884216336140959,0.12568025389668275,0.16274137971741315
2010-03-01,sh.601999,14.3000,14.38,13.99,14.12,9177539,129770144.0000,3,6.201040,1,-1.602800,62.828348,5.523213,5.945811,-1707.759275,0,14.175999999999998,13.948999999999998,13.420999999999992,-1,1,1,1,1,77.69662541421518,81.6318436778094,69.82618888702672,-1,0.2899748260265351,0.15853916832265322,0.1314356577038819
2010-03-02,sh.601999,14.2000,14.51,14.08,14.22,5170112,73768762.0000,3,3.493319,1,0.708200,63.273308,5.562329,5.987920,-1719.853887,0,14.244,14.050999999999998,13.502999999999991,-1,1,1,1,1,68.68284853249476,76.73977776087101,52.56899007574228,-1,0.2958643662240128,0.18600420790292513,0.10986015832108767
2010-03-03,sh.601999,14.2400,14.42,14.01,14.18,5270086,74888707.0000,3,3.560869,1,-0.281300,63.095324,5.546683,5.971077,-1715.016042,0,14.274000000000001,14.148999999999997,13.586999999999993,-1,1,1,1,1,62.52948113207547,69.63631835959514,48.315806677036136,-1,0.2939161214644983,0.20758659061523976,0.08632953084925854
2010-03-04,sh.601999,14.1800,14.25,13.41,13.48,6249657,86751372.0000,3,4.222741,1,-4.936500,59.980604,5.272869,5.676313,-1630.353755,0,14.070000000000002,14.088999999999999,13.624499999999992,-1,-1,-1,-1,1,42.96875000000001,58.06035988819008,12.785530223619872,-1,0.23319979156499926,0.21270923080519166,0.020490560759807597
2010-03-05,sh.601999,13.6000,13.67,13.36,13.41,3069306,41417909.0000,3,2.073855,1,-0.519300,59.669132,5.245488,5.646836,-1621.887527,0,13.882000000000001,14.007,13.649999999999995,-1,-1,-1,-1,1,23.1281328320802,42.87545465471856,-16.366510813196513,-1,0.17738842436094693,0.2056450695163427,-0.028256645155395776
2010-03-08,sh.601999,13.4800,13.65,13.41,13.57,2732304,37002143.0000,3,1.846151,1,1.193100,60.381068,5.308074,5.714211,-1641.238906,0,13.772000000000002,13.973999999999998,13.700999999999993,-1,-1,-1,-1,1,8.339207393483735,24.81203007518798,-24.606437969924755,-1,0.14440358197189163,0.19339677200745248,-0.04899319003556085
2010-03-09,sh.601999,13.7300,13.73,13.5,13.63,2031864,27619435.0000,3,1.372881,1,0.442200,60.648044,5.331543,5.739476,-1648.495674,0,13.654000000000002,13.948999999999998,13.745499999999993,-1,-1,-1,-1,-1,13.283208020050177,14.916849415204704,10.015925229741125,-1,0.12170145665884924,0.17905770893773182,-0.05735625227888258
2010-03-10,sh.601999,13.6300,13.68,13.2,13.29,1860536,24952410.0000,3,1.257119,1,-2.494500,59.135180,5.198548,5.596305,-1607.373992,0,13.476000000000003,13.874999999999996,13.770999999999995,-1,-1,-1,-1,-1,14.0434980067619,11.888637806765269,18.353218406755165,1,0.07540547293314681,0.15832726173681483,-0.08292178880366802
2010-03-11,sh.601999,13.2800,13.35,12.92,13.28,2425951,31817805.0000,3,1.639156,1,-0.075200,59.090684,5.194636,5.592094,-1606.164530,0,13.436000000000002,13.752999999999997,13.767999999999995,-1,-1,-1,-1,-1,16.327509923345783,14.551405316719288,19.87971913659877,1,0.03747664838528131,0.1341571390665081,-0.0966804906812268
2010-03-12,sh.601999,13.2500,13.28,12.85,12.94,1480501,19359585.0000,3,1.000339,1,-2.560200,57.577820,5.061641,5.448923,-1565.042848,0,13.342000000000002,13.611999999999998,13.745499999999996,-1,-1,-1,-1,-1,11.367821545775314,13.912943158627668,6.277578320070607,-1,-0.01978925857826397,0.1033678595375537,-0.12315711811581767
2010-03-15,sh.601999,12.8800,13.19,12.88,13.14,1629242,21296428.0000,3,1.100839,1,1.545600,58.467740,5.139874,5.533142,-1589.232073,0,13.256,13.514,13.731499999999993,-1,-1,-1,-1,-1,15.51151125352267,14.402280907547924,17.729971945472162,1,-0.048475775332287085,0.07299913256358555,-0.12147490789587263
2010-03-16,sh.601999,13.1700,13.38,13.08,13.36,2381570,31649056.0000,3,1.609169,1,1.674300,59.446652,5.225929,5.625782,-1615.840220,0,13.201999999999998,13.427999999999997,13.739499999999996,1,-1,-1,-1,-1,20.107198585059063,15.662177128119017,28.99724149893915,1,-0.052848678483361056,0.04782957035419623,-0.10067824883755729
