date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2014-03-27,sh.603005,34.2000,34.29,32.03,32.09,3844977,126943880.0000,3,6.784347,1,-5.922000,50.094973,10.244902,17.454814,,0,34.27000000000002,35.504999999999995,37.03049999999999,-1,-1,-1,-1,-1,9.229198789332392,12.620476586536197,2.4466431949247784,-1,-1.519213626495663,-0.9895556627261439,-0.5296579637695191
2014-03-28,sh.603005,31.9000,32.98,30.8,32.22,3857879,123169456.0000,3,6.807112,1,0.405100,50.297913,10.286405,17.525526,,0,33.500000000000014,35.086,36.74649999999999,-1,-1,-1,-1,-1,9.210310758990353,9.398073068601853,8.834786139767353,-1,-1.6723964492438057,-1.1261238200296764,-0.5462726292141293
2014-03-31,sh.603005,32.2800,32.28,31.03,31.75,1909258,60695234.0000,3,3.368829,1,-1.458700,49.564207,10.136355,17.269877,,0,32.96400000000001,34.509,36.28399999999999,-1,-1,-1,-1,-1,11.529498422785858,9.989669323702856,14.609156620951865,1,-1.8108457098100885,-1.2630681979857588,-0.5477775118243298
2014-04-01,sh.603005,31.4300,32.63,31.1,32.16,2053659,66021826.0000,3,3.623620,1,1.291300,47.423870,9.710698,16.185694,1460.384448,0,32.466000000000015,33.984,35.91799999999999,-1,-1,-1,-1,-1,18.0362948392208,12.925368006998992,28.25814850366442,1,-1.865974381651931,-1.3836494347189932,-0.4823249469329378
2014-04-02,sh.603005,32.0000,32.73,31.02,32.66,2967546,94344072.0000,3,5.236146,1,1.554700,48.161182,9.861673,16.437337,1483.089430,0,32.176000000000016,33.598,35.61099999999999,1,-1,-1,-1,-1,22.972532331159453,17.512775197722025,33.892046598034305,1,-1.8480156558111887,-1.4765226789374322,-0.3714929768737565
2014-04-03,sh.603005,32.4800,34.0,32.3,33.12,4285813,142755844.0000,3,7.562189,1,1.408400,48.839508,10.000569,16.668849,1503.978013,0,32.38200000000002,33.326,35.132999999999996,1,-1,-1,-1,-1,32.82223359367641,24.610353588018878,49.245993604991476,1,-1.7761902648440966,-1.536456196118765,-0.23973406872533154
2014-04-04,sh.603005,32.6500,33.59,32.51,33.37,2423728,80107003.0000,3,4.276596,1,0.754800,49.208164,10.076057,16.794671,1515.330504,0,32.612000000000016,33.056,34.845499999999994,1,1,-1,-1,-1,46.391749753554016,34.06217189279661,71.05090547506882,1,-1.6797323059400355,-1.5651114180830192,-0.1146208878570163
2014-04-08,sh.603005,33.0000,34.5,32.87,34.33,3365356,114141730.0000,3,5.938070,1,2.876800,50.623802,10.365928,17.277826,1558.924070,0,33.12800000000002,33.046,34.724,1,1,-1,1,-1,63.03147598043622,47.415153109222196,94.26412172286426,1,-1.5084363859332655,-1.5537764116530686,0.04534002571980311
2014-04-09,sh.603005,34.0500,34.7,33.82,34.49,2894419,99224191.0000,3,5.107116,1,0.466100,50.859742,10.414240,17.358352,1566.189664,0,33.59400000000002,33.03,34.571999999999996,1,1,-1,1,-1,79.95115995115991,63.12479522838337,113.60388939671297,1,-1.344276489791966,-1.511876427280848,0.16759993748888213
2014-04-10,sh.603005,34.3900,35.25,34.03,34.41,3091106,107092558.0000,3,5.454164,1,-0.232000,50.741772,10.390084,17.318089,1562.556867,0,33.944000000000024,33.06,34.488499999999995,1,1,-1,1,-1,86.59553305620716,76.52605632926775,106.73448651008599,1,-1.2067235627320656,-1.4508458543710916,0.244122291639026
2014-04-11,sh.603005,33.8800,34.6,33.52,33.68,2078447,70486853.0000,3,3.667358,1,-2.121500,49.665297,10.169661,16.950690,1529.407593,0,34.056000000000026,33.219,34.36199999999999,-1,1,-1,1,-1,79.5410469591679,82.02924665551164,74.56464756648043,-1,-1.1434359581953117,-1.3893638751359356,0.24592791694062388
