date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2016-04-22,sh.603027,28.0100,28.7,27.88,28.67,4587337,129875838.0000,3,11.468343,1,0.631800,68.948187,9.812233,7.356163,-1532.251154,0,29.490000000000016,30.044,29.079499999999985,-1,-1,-1,-1,1,16.948422303472462,29.833219590744875,-8.821172271072363,-1,1.7449768930703193,2.3999674887496503,-0.6549905956793309
2016-04-25,sh.603027,28.3900,28.39,27.4,28.02,4312836,120438942.0000,3,10.782090,1,-2.267200,67.385009,9.589772,7.189386,-1497.512290,0,28.984000000000016,29.901999999999997,28.987499999999983,-1,-1,-1,-1,-1,10.187094651297256,18.812292051012033,-7.063300148132299,-1,1.5041162848984335,2.220797247979407,-0.7166809630809734
2016-04-26,sh.603027,27.9900,28.57,27.88,28.51,3460490,97725201.0000,3,8.651225,1,1.748700,68.563405,9.757473,7.315110,-1523.700049,0,28.574000000000012,29.801,28.997499999999985,-1,-1,-1,-1,-1,13.142346919526654,13.425954624765467,12.57513150904903,-1,1.3373552239672009,2.0441088431769656,-0.7067536192097648
2016-04-27,sh.603027,28.5100,29.27,28.43,28.74,5214207,150526112.0000,3,13.035517,1,0.806700,69.116529,9.836190,7.374124,-1535.992263,0,28.48600000000001,29.716,29.072499999999984,1,-1,-1,-1,-1,15.62340966921119,12.984283746678377,20.901661514276814,1,1.2098090340755832,1.8772488813566892,-0.6674398472811061
2016-04-28,sh.603027,28.9000,28.98,27.6,28.19,5079991,143073012.0000,3,12.699978,1,-1.913700,63.581667,5.435853,6.950064,18.788074,0,28.426000000000016,29.28,29.07299999999999,-1,-1,-1,-1,-1,18.813574910328345,15.859777166355405,24.72117039827423,1,1.052218041606931,1.7122427134067375,-0.6600246717998064
2016-04-29,sh.603027,27.9800,28.4,27.82,28.07,2701476,76076718.0000,3,6.753690,1,-0.425700,63.311011,5.412713,6.920478,18.708097,0,28.30600000000002,28.898000000000003,29.09149999999999,-1,-1,-1,-1,-1,18.546246052913958,17.661076877484508,20.316584403772858,1,0.9071855769479384,1.5512312861149777,-0.6440457091670393
2016-05-03,sh.603027,28.1000,29.77,28.06,29.51,6225782,181626691.0000,3,15.564455,1,5.130000,66.558886,5.690387,7.275501,19.667828,0,28.60400000000002,28.794,29.168499999999987,1,1,1,-1,-1,28.881379175237573,22.080400046159966,42.48333743339279,1,0.8980896507684086,1.420602959045664,-0.5225133082772553
2016-05-04,sh.603027,29.4000,30.85,29.3,30.01,7772721,232387929.0000,3,19.431802,1,1.694300,67.686621,5.786802,7.398773,20.001068,0,28.904000000000018,28.738999999999997,29.259499999999985,1,1,1,1,-1,47.753388953480965,31.72700472721084,79.80615740602121,1,0.9206146128697057,1.3206052898104723,-0.3999906769407666
2016-05-05,sh.603027,30.0100,30.61,29.8,30.3,5890458,178122648.0000,3,14.726145,1,0.966300,68.340707,5.842722,7.470271,20.194347,0,29.21600000000002,28.851,29.378999999999984,1,1,1,1,-1,70.39118652056085,49.008651549759804,113.15625646216296,1,0.950904943714086,1.246665220591195,-0.29576027687710904
2016-05-06,sh.603027,30.5000,31.66,28.79,28.97,8888939,270388048.0000,3,22.222348,1,-4.389400,65.340933,5.586260,7.142368,19.307929,0,29.37200000000002,28.899,29.433499999999988,-1,1,-1,1,-1,65.5215350071443,61.22203682706205,74.1205313673088,1,0.8577032947321719,1.1688728354193905,-0.3111695406872186
2016-05-09,sh.603027,28.2000,28.39,27.61,27.77,5652454,157985532.0000,3,14.131135,1,-4.142200,62.634370,5.354865,6.846515,18.508153,0,29.312000000000022,28.808999999999997,29.426499999999987,-1,-1,-1,1,-1,41.69987440887198,59.204198645525715,6.691225935564503,-1,0.6791811675271759,1.0709345018409475,-0.3917533343137716
2016-05-10,sh.603027,27.8000,28.59,27.7,28.36,4292444,120930343.0000,3,10.731110,1,2.124600,63.965097,5.468634,6.991976,18.901376,0,29.082000000000022,28.843,29.372499999999985,-1,-1,-1,1,-1,19.92028801159442,42.380565809203574,-25.000267583623895,-1,0.578638974787907,0.9724753964303394,-0.3938364216424324
2016-05-11,sh.603027,28.4500,30.31,28.31,29.47,8812190,258283305.0000,3,22.030475,1,3.914000,66.468667,5.682674,7.265639,19.641169,0,28.974000000000025,28.939,29.369999999999987,1,1,1,1,-1,22.988505747126368,28.202889389197598,12.559738462983908,-1,0.5818194337552853,0.8943442038953286,-0.3125247701400433
2016-05-12,sh.603027,28.5000,28.5,27.2,27.99,6252860,173658217.0000,3,15.632150,1,-5.022100,63.130573,5.397287,6.900755,18.654778,0,28.51200000000002,28.863999999999997,29.289999999999985,-1,-1,-1,-1,-1,27.497109869152485,23.468634542624432,35.554060522208594,1,0.4596181473763892,0.8073989925915408,-0.3477808452151516
